Address,USB0::0x2A8D::0x5101::MY58027919::0::INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,34970A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,MY58027919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware Version,A.02.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2024-05-16 11:41:01.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Time,2024-05-16 12:47:16.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modules,1,Slot 1,34901A,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Channels,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm,,,,,,,,,,,,,
101,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,
102,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,
103,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,
104,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,
105,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34970A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,1630,1433,1626,1111,1630,,,,,,,,,,,,,,,,,,,,,,,,
34901A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,193,194,195,196,197,198,199
Odometer,7013,7226,6983,11226,9913,6558,6377,6367,2743,2736,2731,2728,2731,0,0,0,0,0,0,0,0,0,23,23,22,6,7,173,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:05.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
