Address,USB0::0x2A8D::0x5101::MY58027919::0::INSTR,,,,,,,,,,,,,,,
Model,34970A,,,,,,,,,,,,,,,
Serial Number:,MY58027919,,,,,,,,,,,,,,,
Firmware Version,A.02.03,,,,,,,,,,,,,,,
Start Time,2024-05-09 12:57:57.553,,,,,,,,,,,,,,,
Stop Time,2024-05-09 13:00:17.553,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,
Modules,1,Slot 1,34901A,,,,,,,,,,,,,
Total Channels,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm
101,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None
102,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None
103,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None
104,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None
105,,Temp (Type K),None,C,1,0.0006,False,1,0,,Off,0,0,None,1,None
,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,
Scan Interval,00:00:00:05.000,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,101Time (Sec),101 (°C),102Time (Sec),102 (°C),103Time (Sec),103 (°C),104Time (Sec),104 (°C),105Time (Sec),105 (°C),,,,,
2024-05-09 12:57:57.553,1,2024-05-09 12:57:57.553,1009.46963,2024-05-09 12:57:57.594,845.110046,2024-05-09 12:57:57.635,584.669506,2024-05-09 12:57:57.677,461.619941,2024-05-09 12:57:57.718,410.122022,,,,,
2024-05-09 12:58:02.556,2,2024-05-09 12:58:02.556,1010.89253,2024-05-09 12:58:02.598,847.726235,2024-05-09 12:58:02.639,594.51061,2024-05-09 12:58:02.681,470.772706,2024-05-09 12:58:02.722,417.293164,,,,,
2024-05-09 12:58:07.553,3,2024-05-09 12:58:07.553,1012.43964,2024-05-09 12:58:07.595,841.410202,2024-05-09 12:58:07.636,610.907011,2024-05-09 12:58:07.678,477.002586,2024-05-09 12:58:07.719,429.361503,,,,,
2024-05-09 12:58:12.624,4,2024-05-09 12:58:12.624,1013.9348,2024-05-09 12:58:12.665,843.309539,2024-05-09 12:58:12.707,612.499241,2024-05-09 12:58:12.748,473.37471,2024-05-09 12:58:12.790,427.395271,,,,,
